Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
TYPE E6 BRAKE VALVE ($74.87+56.85 CORE),PACESETTER TRADING COMPANY    ,$115.00,2013-01-07,173700,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SILICONE SPRAY LUBE 354GRAM X 12/CASE SHIP CASE LOTS ONLY,TERRITORIAL AUTO PARTS        ,$672.00,2013-01-07,173714,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"ARMORALL SPRAY PROTECTANT, 2 LITRE",UAP INC                       ,$64.00,2013-01-07,173717,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
621X4 FTG. 11215/99002/1T,UAP INC                       ,$50.00,2012-08-27,172382,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
C5129X8 FTG. 11060/99002/1HD,UAP INC                       ,$5.00,2012-08-27,172382,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
C5305X12 FTG. 11226/99002/1T,UAP INC                       ,$39.00,2012-08-27,172382,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1341 WINDSHIELD SUPPLY & INSTALL 17255/46119/061792/1A INV # 2773,JODY SHEA O/A                 ,$300.00,2012-08-29,172384,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1551 WINDSHIELD SUPPLY & INSTALL 14220/45555/061904/1A INV # 2781,JODY SHEA O/A                 ,$380.00,2012-08-29,172384,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
06U756 FTNGS 17463/46137/062264/1A,UAP INC                       ,$30.00,2012-10-15,172789,,29,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"24243353 SEAL, A/TRSAX LH O/P *P1* 15793/060821/43083/6 RG DAWSON",KLONDIKE MOTORS INC O/A       ,$11.00,2012-10-15,172790,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"24236933 FILTER, TRANS 15105/T20700/6 JS DAWSON",KLONDIKE MOTORS INC O/A       ,$57.00,2012-10-15,172790,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
84-2002 SEAL PIN CONNECTOR 05277/99000/24,UAP INC                       ,$7.00,2012-10-15,172791,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
C5755X10 FTG. 14560/99002/1T,UAP INC                       ,$90.00,2012-10-15,172792,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"242-2322 CALIPER, LH RR 15725/T20688/6 JS DAWSON",UAP INC                       ,$86.00,2012-10-15,172793,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, COOLANT",UAP INC                       ,$30.00,2012-10-15,172808,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"M-A206A114 VALVE GATE 1 1/4"" 11028/T16247/1HD",CDNIS,$67.00,2012-07-09,171918,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"1018491 SHACKLE 3/4"" GALV. 15272/0214-14/6",CDNIS,$92.00,2012-07-09,171918,,24,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1341 WINDSHIELD SUPPLY & INSTALL 13934/46115/061567/1A INV # 2668,JODY SHEA O/A                 ,$300.00,2012-07-10,171923,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1341 WINDSHIELD SUPPLY & INSTALL 13946/46082/061625/1A INV # 2677,JODY SHEA O/A                 ,$300.00,2012-07-10,171923,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
11-9999 DIPENSER WORX 20.4 KG 11529/99000/1T,AJAX STEEL LIMITED            ,$38.00,2012-07-10,171925,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"N42-400AL FTG. CAMLOCK 4"" ALUM PART A 10956/7202/SWEEPING CREW",CDYKPUMP,$14.00,2012-07-10,171928,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
12119-16 SHIM 5337/T23188/24,INLAND KENWORTH               ,$104.00,2012-05-04,171286,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DB11203GTY REAR WINDOW 12230/T20724/1A INV#2544,JODY SHEA O/A                 ,$650.00,2012-05-09,171304,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1505 WINDSHIELD SUPPLY & INSTALL 12095/T20546/1A INV # 2548,JODY SHEA O/A                 ,$350.00,2012-05-09,171304,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LAMP, RED MARKER",UAP INC                       ,$30.00,2012-07-10,171935,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BOLT, SHOULDER",INLAND KENWORTH               ,$614.00,2012-07-10,171941,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
12U-112 FITTING 15850/99002/6 JF DAWSON,UAP INC                       ,$50.00,2012-07-11,171948,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FREIGHT FOR ENGINE IN & OUTBOUND 09568/R23174/1HD,INLAND KENWORTH               ,"$1,116.00",2012-04-05,170972,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, CAB AIR",UAP INC                       ,$68.00,2012-05-08,171323,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, AIR",UAP INC                       ,$48.00,2012-05-08,171323,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, OIL",UAP INC                       ,$152.00,2012-05-08,171323,,28,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SENSOR, SPEED 2000+ KENWORTH",INLAND KENWORTH               ,$118.00,2012-05-08,171332,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
12A-379 O-RING 07665/T25019/6 HM,INLAND KENWORTH               ,$8.00,2012-05-30,171555,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1218 WINDSHIELD SUPPLY & INSTALL 13175/40256/061354/1A INV # 2606,JODY SHEA O/A                 ,$340.00,2012-06-04,171574,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DB9744GTY REAR DOOR WINDOW GLASS 13254/48035/061310/1A INV # 2614,JODY SHEA O/A                 ,$625.00,2012-06-04,171574,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2878168 BRG. ENGINE CAMSHAFT 06975/T23189/1HD,INLAND KENWORTH               ,$231.00,2012-07-11,171953,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3201659 SEAL QUAD 11722/T23189/1HD,INLAND KENWORTH               ,$30.00,2012-07-11,171953,,26,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SORBPO500 PADS OIL ABSORBENT 11530/99000/1T,CDACKLANDSWH,$183.00,2012-07-11,171956,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SPN 099-826 HANDLE ASSY. DOOR 11300/T30208/1HD,CDACKLANDSWH,$176.00,2012-07-11,171956,,23,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PREMIX, ROAD MAINTENANCE ASPHALT PATCH MATERIAL",COLAS WESTERN CANADA INC O/A  ,"$3,296.00",2012-08-15,171970,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ROCK CHIP REPAIRS AS PER INV # 2479 12074/T18249/1A,JODY SHEA O/A                 ,$40.00,2012-04-02,170980,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
REKEY LOCK & KEYS AS PER INV # 92341 13280/59505/061604/1A,LOCKSMITH SERVICES LTD        ,$24.00,2012-05-14,171353,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"WLT12E647 STONE, GRIND 13485/SHOP/6 EB DAWSON",CDACKLANDSWH,$78.00,2012-05-17,171356,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,I,2012-13
19969 MOMENTARY SWITCH 13209/91159/061342/1A,DYNAMIC SPECIALTY VEHICLES    ,$21.00,2012-05-10,171360,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YTG TIRE TAX 07541/T63505/061290/11/KC,KAL TIRE                      ,$15.00,2012-06-06,171587,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
43302WS 16X6 8ON6.5 WHITE SPOKE WHEEL 07541/T63505/061290/11/KC,KAL TIRE                      ,$174.00,2012-06-06,171587,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BALL VALVE, 3/8""",AJAX STEEL LIMITED            ,$24.00,2012-06-05,171591,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SWITCH, TOGGLE ON-OFF-ON",DON COX ENTERPRISES LTD O/A   ,$54.00,2012-06-05,171592,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
THREADLOCKER (BLUE 242) 10ML,CDNIS,$30.00,2012-06-05,171593,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"GREASE GUN HOSE ASSEMBLY 18"" X 1/8""",CDACKLANDSWH,$55.00,2012-06-05,171598,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
57-18FDM WIPERS 14134/43077/061775/1A,INLAND KENWORTH               ,$36.00,2012-07-16,171972,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
VALE600R HIGH PRESSURE VALE 01660/T18503/09/KC,YUKON TIRE CENTRE INC         ,$1.00,2012-07-17,171987,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, PRIMARY FUEL FUEL PROCESSOR FILTER",DON COX ENTERPRISES LTD O/A   ,$180.00,2012-04-03,171016,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SEALED BEAM, PAR36 24V 4.5""RD 50W",CDNIS,$36.00,2012-04-03,171019,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
MINIATURE BULBS,CDNIS,$10.00,2012-04-03,171019,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PIGTAIL, 3 CONN FOR LED",UAP INC                       ,$48.00,2012-04-03,171028,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CIRCUIT BREAKER, THERMAL HIGH AMP",UAP INC                       ,$53.00,2012-04-03,171028,,21,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
TERMINALS- (100 PACK),UAP INC                       ,$12.00,2012-04-03,171028,,32,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AL3Z-1007-D WHEEL CORE 13149/T18507/1A,WHITEHORSE MOTORS LIMITED     ,$70.00,2012-05-15,171391,,22,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
THREADLOCKER (BLUE 242) 10ML,CDNIS,$90.00,2012-05-14,171400,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
MINIATURE BULBS,CDNIS,$12.00,2012-05-14,171402,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15745156 FRONT SKID PLATE 13188/46111/061381/1A,KLONDIKE MOTORS INC O/A       ,$64.00,2012-06-06,171617,,23,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
90433198100 SCREW PAN HEAD M50X50 07785/61201/061159/6 MV,CDNIS,$2.00,2012-06-05,171620,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
031-2216-2 FLOOR MAT SET 13207/T20542/1A,CDCANTIREWHH,$30.00,2012-06-06,171626,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
8.25R15 TUBE 11405/T12951/BST/KC,YUKON TIRE CENTRE INC         ,$19.00,2012-06-26,171633,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"METER, HOUR",AJAX STEEL LIMITED            ,$540.00,2012-07-17,172003,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"HOSE, 3/4"" X 50' SILICONE HEATER",AJAX STEEL LIMITED            ,$406.00,2012-07-17,172003,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, ENGINE OIL",UAP INC                       ,$630.00,2012-07-17,172013,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, PRIMARY AIR 21325",UAP INC                       ,$23.00,2012-07-17,172013,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
67042 11R22.5 MICHELIN XZE2 LRH 14465/49005/557143/1A/KC,MICHELIN NORTH AMERICA CAN INC,$972.00,2012-07-18,172025,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15W40-205 ROTELA OIL SAE15W40 11452/99001/1HD,INLAND KENWORTH               ,"$2,325.00",2012-07-19,172029,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, AIR",UAP INC                       ,$26.00,2012-04-03,171029,,40,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"ALTERNATOR, 24V $340.00 + $60.00 CORE",UAP INC                       ,$400.00,2012-04-03,171030,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AIR FILTER-PRIMARY.,UAP INC                       ,$20.00,2012-05-14,171408,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, FUEL/WATER SEPARATOR",FINNING INTERNATIONAL INC     ,$130.00,2012-05-14,171412,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PIN, (ALUMINUM) SHEAR FITS SNOW WING ON CAT 140 SERIES GRADER",FINNING INTERNATIONAL INC     ,$192.00,2012-05-14,171412,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
GYB17705 BELT 10342/T29251/7,PACESETTER TRADING COMPANY    ,$46.00,2012-05-17,171437,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 48"" CURVED CARBIDE, 5/8"" HOLES 48"" W/ 5/8"" HOLES U/BODY AND GRADERS",CDNIS,"$17,640.00",2012-06-07,171643,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3411821PX INJECTOR 11983/T23189/1HD,INLAND KENWORTH               ,"$2,820.00",2012-06-08,171647,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
08U668 FTG. 07371/99002/6 JF,UAP INC                       ,$140.00,2012-06-08,171648,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
04U604 FTG. 07371/99002/6 JF,UAP INC                       ,$15.00,2012-06-08,171648,,18,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15W40-20 ROTELLA OIL 10872/99001/23,INLAND KENWORTH               ,$420.00,2012-07-26,172087,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2761317 STRIP-WEAR 11785/T23706/1HD,FINNING INTERNATIONAL INC     ,$160.00,2012-07-27,172095,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
245-3818 FILTER AIR PRIM. 93178/T21017/BST CREW,FINNING INTERNATIONAL INC     ,$64.00,2012-07-30,172102,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BELT, AIR CONDITIONER 15277-283 *DNR*",PACESETTER TRADING COMPANY    ,$17.00,2012-07-30,172111,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
89240 TRAILER BRAKE CONTROLLER 10396/46212/061013/1A,UAP INC                       ,$112.00,2012-04-03,171045,,26,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15871124 LH WINDOW REGULATOR 10147/46128/060992/1A,KLONDIKE MOTORS INC O/A       ,$165.00,2012-04-05,171049,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
EZR48125 GASKET MATERIAL 10499/56571/061058/1C,AJAX STEEL LIMITED            ,$16.00,2012-04-12,171050,,23,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
K6803 WELDING HELMUT 14354/1C,AJAX STEEL LIMITED            ,$492.00,2012-04-12,171050,,25,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
OR1004 PUMP GP ENGINE COOLANT CORE 83034/T23158/2,FINNING INTERNATIONAL INC     ,$804.00,2012-04-05,171056,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
U-JOINT,PACESETTER TRADING COMPANY    ,$27.00,2012-05-23,171462,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
LICENSE LAMP,WHITEHORSE MOTORS LIMITED     ,$26.00,2012-05-23,171471,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PLUG, SPARK",WHITEHORSE MOTORS LIMITED     ,$272.00,2012-05-23,171471,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
BRAKE PADS,TERRITORIAL AUTO PARTS        ,$60.00,2012-05-23,171472,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
LAMPS,UAP INC                       ,$154.00,2012-05-23,171474,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BATTERY, GROUP 27, MIN CCA 700",UAP INC                       ,$100.00,2012-05-23,171478,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ROCK CHIP REPAIRS AS PER INV # 2566 13156/46164/061249/1A,JODY SHEA O/A                 ,$40.00,2012-05-25,171486,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
E4TZ4800A STEADY BEARING 14116/43092/061694/1A,WHITEHORSE MOTORS LIMITED     ,$57.00,2012-08-02,172163,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
10401826 DOOR CHECK 14136/43087/061797/1A,KLONDIKE MOTORS INC O/A       ,$20.00,2012-08-02,172164,,30,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ROCR004966L LH WHEEL STUD 13947/49005/061587/1A,PACESETTER TRADING COMPANY    ,$2.00,2012-04-10,171061,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, OIL",UAP INC                       ,$48.00,2012-04-11,171079,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
WIRE-BROWN-14 GA.- (100 FT. ROLL),UAP INC                       ,$15.00,2012-04-11,171082,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
855PG REAR BRAKE SHOES 10347/46159/061260/1A,TERRITORIAL AUTO PARTS        ,$115.00,2012-04-12,171089,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
STE125 CONNECTOR 08341/T5200/1E,GUILLEVIN INTERNATIONAL       ,$52.00,2012-05-28,171504,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
